HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,753,29/8/2017,22:39:43.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,913,29/8/2017,22:39:43.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,869,29/8/2017,22:39:43.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1060,29/8/2017,22:39:43.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,777,29/8/2017,22:39:43.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,666,29/8/2017,22:39:43.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,708,29/8/2017,22:39:43.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,732,29/8/2017,22:39:43.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,800,29/8/2017,22:39:43.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,800,29/8/2017,22:39:43.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,468,800,29/8/2017,22:39:43.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,536,800,29/8/2017,22:39:43.00,0.000000,0.000000,0.000000
STOP
MEDIDA:,0,0,0,479,29/8/2017,22:40:08.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,958,419,29/8/2017,22:40:08.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1114,401,29/8/2017,22:40:10.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,814,385,29/8/2017,22:40:11.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,772,350,29/8/2017,22:40:12.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,713,320,29/8/2017,22:40:13.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,648,301,29/8/2017,22:40:14.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,615,292,29/8/2017,22:40:14.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,599,287,29/8/2017,22:40:16.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,597,292,29/8/2017,22:40:17.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,597,288,29/8/2017,22:40:17.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,602,285,29/8/2017,22:40:17.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,583,278,29/8/2017,22:40:17.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,582,276,29/8/2017,22:40:17.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,580,276,29/8/2017,22:40:17.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,569,272,29/8/2017,22:40:17.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,569,273,29/8/2017,22:40:17.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,569,280,29/8/2017,22:40:17.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,569,292,29/8/2017,22:40:17.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,3730,300,29/8/2017,22:40:17.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,624,300,29/8/2017,22:40:17.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,625,295,29/8/2017,22:40:29.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,621,295,29/8/2017,22:40:30.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,621,305,29/8/2017,22:40:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,621,310,29/8/2017,22:40:32.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,657,309,29/8/2017,22:40:32.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,644,309,29/8/2017,22:40:34.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,648,304,29/8/2017,22:40:35.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,639,308,29/8/2017,22:40:36.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,653,307,29/8/2017,22:40:37.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,638,306,29/8/2017,22:40:38.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,647,305,29/8/2017,22:40:38.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,646,305,29/8/2017,22:40:40.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,638,305,29/8/2017,22:40:41.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,642,304,29/8/2017,22:40:42.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,630,305,29/8/2017,22:40:43.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,653,311,29/8/2017,22:40:44.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,628,305,29/8/2017,22:40:44.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,644,305,29/8/2017,22:40:46.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,637,306,29/8/2017,22:40:46.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,647,305,29/8/2017,22:40:47.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,637,308,29/8/2017,22:40:48.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,649,308,29/8/2017,22:40:49.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,650,308,29/8/2017,22:40:50.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,642,308,29/8/2017,22:40:51.50,0.000000,0.000000,0.000000
MEDIDA:,0,0,662,316,29/8/2017,22:40:52.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,659,316,29/8/2017,22:40:53.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,667,316,29/8/2017,22:40:54.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,656,315,29/8/2017,22:40:55.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,655,310,29/8/2017,22:40:56.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,654,313,29/8/2017,22:40:57.50,0.000000,0.000000,0.000000
MEDIDA:,0,0,666,317,29/8/2017,22:40:58.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,653,312,29/8/2017,22:40:59.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,653,322,29/8/2017,22:41:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,653,329,29/8/2017,22:41:01.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,653,349,29/8/2017,22:41:02.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,379,29/8/2017,22:41:03.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,385,29/8/2017,22:41:04.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,369,29/8/2017,22:41:05.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,761,354,29/8/2017,22:41:06.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,738,353,29/8/2017,22:41:07.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,727,343,29/8/2017,22:41:08.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,720,342,29/8/2017,22:41:09.50,0.000000,0.000000,0.000000
