HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG
MEDIDA:,0,0,0,814,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,851,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,958,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,1263,825,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,1081,706,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,939,603,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,827,582,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,820,580,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,820,577,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,820,605,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,2191,617,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,1481,653,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,1369,672,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,1369,712,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,1369,754,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,1369,753,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,1369,761,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,771,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,770,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,798,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,910,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,910,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,910,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,910,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
STOP
