type,latitude,longitude,altitude (m),name
T,4.719188,-74.05222,2554,
T,4.71918,-74.0522,2554,
T,4.719172,-74.05217,2554,
T,4.719163,-74.05214,2554,
T,4.71916,-74.0521,2554,
T,4.719155,-74.05206,2554,
T,4.71915,-74.05202,2554,
T,4.719143,-74.05198,2554,
T,4.719135,-74.05194,2554,
T,4.71913,-74.0519,2554,
T,4.719123,-74.05187,2554,
T,4.719117,-74.05183,2554,
T,4.71911,-74.05178,2554,
T,4.719103,-74.05174,2554,
T,4.719098,-74.0517,2554,
T,4.719093,-74.05165,2554.1,
T,4.719088,-74.05161,2554.3,
T,4.719083,-74.05156,2554.5,
T,4.719077,-74.05152,2554.7,
T,4.71907,-74.05147,2554.9,
T,4.71906,-74.05143,2555.1,
T,4.719053,-74.05138,2555.4,
T,4.719048,-74.05133,2555.6,
T,4.719037,-74.05126,2556,
T,4.719028,-74.05119,2556.3,
T,4.71902,-74.05112,2556.6,
T,4.71901,-74.05105,2557,
T,4.719003,-74.05097,2557.3,
T,4.719,-74.05091,2557.6,
T,4.718997,-74.05086,2557.9,
T,4.719003,-74.05082,2557.9,
T,4.719018,-74.05079,2557.8,
T,4.719023,-74.05076,2557.7,
T,4.719007,-74.05073,2557.5,
T,4.718992,-74.0507,2557.4,
T,4.718975,-74.05067,2557.3,
T,4.718957,-74.05065,2557.2,
T,4.718947,-74.05061,2557,
T,4.71894,-74.05057,2556.8,
T,4.718937,-74.05053,2556.6,
T,4.71893,-74.05049,2556.5,
T,4.718922,-74.05044,2556.3,
T,4.718913,-74.0504,2556.1,
T,4.718903,-74.05036,2555.9,
T,4.718897,-74.05032,2555.7,
T,4.71889,-74.05028,2555.6,
T,4.718883,-74.05024,2555.4,
T,4.718878,-74.0502,2555.2,
T,4.718873,-74.05015,2555,
T,4.718868,-74.05011,2554.8,
T,4.718863,-74.05007,2554.7,
T,4.718857,-74.05002,2554.5,
T,4.71885,-74.04998,2554.4,
T,4.718843,-74.04995,2554.4,
T,4.718838,-74.0499,2554.3,
T,4.718832,-74.04986,2554.3,
T,4.718832,-74.04982,2554.3,
T,4.718848,-74.04977,2554.3,
T,4.718867,-74.04974,2554.2,
T,4.71888,-74.04972,2554.2,
T,4.718877,-74.04971,2554.2,
T,4.718872,-74.04968,2554.2,
T,4.718868,-74.04967,2554.2,
T,4.718862,-74.04964,2554.2,
T,4.718847,-74.04961,2554.2,
T,4.718843,-74.04959,2554.2,
T,4.718833,-74.04956,2554.2,
T,4.718808,-74.04953,2554.2,
T,4.718788,-74.04951,2554.2,
T,4.718775,-74.04949,2554.2,
T,4.718772,-74.04947,2554.2,
T,4.71876,-74.04945,2554.2,
T,4.718747,-74.04943,2554.2,
T,4.718732,-74.04941,2554.2,
T,4.718715,-74.04939,2554.1,
T,4.718697,-74.04937,2554.1,
T,4.718682,-74.04934,2554.1,
T,4.718665,-74.0493,2554.1,
T,4.718647,-74.04928,2554.1,
T,4.718627,-74.04925,2554.1,
T,4.718588,-74.04927,2554.1,
T,4.718578,-74.04924,2554.1,
T,4.718562,-74.04922,2554,
T,4.718543,-74.0492,2554,
T,4.71852,-74.04919,2554,
T,4.718498,-74.04918,2554,
T,4.71848,-74.04917,2554,
T,4.718467,-74.04915,2554,
T,4.718475,-74.04907,2554.1,
T,4.718465,-74.04904,2554.2,
T,4.718473,-74.04898,2554.3,
T,4.718478,-74.04894,2554.3,
T,4.718505,-74.04894,2554.3,
T,4.718503,-74.04892,2554.4,
T,4.718512,-74.04886,2554.4,
T,4.71851,-74.04878,2554.6,
T,4.718517,-74.04871,2554.7,
T,4.718508,-74.04869,2554.7,
T,4.718492,-74.04867,2554.7,
T,4.718483,-74.04864,2554.7,
T,4.718472,-74.0486,2554.8,
T,4.718468,-74.04857,2554.8,
T,4.718457,-74.04854,2554.9,
T,4.718438,-74.04851,2554.9,
T,4.718423,-74.04848,2554.9,
T,4.718413,-74.04844,2555,
T,4.718403,-74.04841,2555,
T,4.718392,-74.04839,2555,
T,4.718382,-74.04836,2555,
T,4.718377,-74.04834,2555,
T,4.71837,-74.04831,2555,
T,4.718373,-74.04828,2555.1,
T,4.71837,-74.04826,2555,
T,4.718373,-74.04822,2555.1,
T,4.718372,-74.04819,2555.1,
T,4.718362,-74.04815,2555,
T,4.718347,-74.04813,2555,
T,4.718327,-74.0481,2555,
T,4.718313,-74.04808,2555,
T,4.718302,-74.04806,2555,
T,4.718285,-74.04803,2555,
T,4.718257,-74.048,2555.1,
T,4.718242,-74.04797,2555.1,
T,4.718228,-74.04793,2555.1,
T,4.718217,-74.04791,2555.1,
T,4.718207,-74.04788,2555.1,
T,4.718192,-74.04784,2555.1,
T,4.718175,-74.04781,2555.1,
T,4.718165,-74.04778,2555.1,
T,4.718162,-74.04774,2555.1,
T,4.718153,-74.04771,2555.1,
T,4.718145,-74.04768,2555,
T,4.718135,-74.04765,2555,
T,4.718127,-74.04762,2555,
T,4.718118,-74.04758,2555,
T,4.718105,-74.04755,2555,
T,4.718085,-74.04752,2555,
T,4.718048,-74.04753,2555,
T,4.718042,-74.0475,2555,
T,4.71803,-74.04746,2555,
T,4.718022,-74.04743,2554.9,
T,4.718018,-74.0474,2554.9,
T,4.718025,-74.04734,2554.9,
T,4.718022,-74.0473,2554.8,
T,4.718007,-74.04724,2554.8,
T,4.718015,-74.0472,2554.7,
T,4.718017,-74.04716,2554.7,
T,4.718008,-74.04714,2554.7,
T,4.718003,-74.04712,2554.6,
T,4.718,-74.04712,2554.6,
T,4.717997,-74.04711,2554.6,
T,4.717993,-74.04711,2554.6,
T,4.717995,-74.04708,2554.6,
T,4.71799,-74.04708,2554.6,
T,4.717985,-74.04708,2554.6,
T,4.717887,-74.04708,2554.5,
T,4.717865,-74.04709,2554.4,
T,4.71784,-74.04709,2554.4,
T,4.717815,-74.04709,2554.4,
T,4.717787,-74.0471,2554.4,
