type,latitude,longitude,altitude (m),name
T,4.71497,-74.04731,2556.7,
T,4.714923,-74.04731,2556.8,
T,4.714873,-74.04732,2556.9,
T,4.714822,-74.04733,2556.9,
T,4.71477,-74.04734,2557,
T,4.714718,-74.04735,2557.1,
T,4.714665,-74.04736,2557.2,
T,4.714613,-74.04737,2557.3,
T,4.71456,-74.04738,2557.4,
T,4.714507,-74.04739,2557.5,
T,4.71445,-74.04739,2557.6,
T,4.714397,-74.0474,2557.8,
T,4.71434,-74.04741,2557.9,
T,4.714282,-74.04742,2558,
T,4.714225,-74.04743,2558.1,
T,4.71417,-74.04744,2558.3,
T,4.714113,-74.04745,2558.1,
T,4.71406,-74.04746,2558,
T,4.714003,-74.04747,2557.8,
T,4.713947,-74.04748,2557.6,
T,4.713892,-74.04749,2557.4,
T,4.713848,-74.0475,2557.2,
T,4.713807,-74.0475,2557.1,
T,4.713767,-74.04751,2557,
T,4.713743,-74.04751,2557,
T,4.71371,-74.04752,2556.9,
T,4.713675,-74.04752,2556.8,
T,4.713648,-74.04751,2556.7,
T,4.71361,-74.04751,2556.6,
T,4.713562,-74.04751,2556.5,
T,4.713513,-74.04751,2556.4,
T,4.71345,-74.04753,2556.2,
T,4.713405,-74.04755,2556.1,
T,4.713358,-74.04755,2556,
T,4.713303,-74.04756,2556,
T,4.71325,-74.04757,2556.2,
T,4.7132,-74.04757,2556.4,
T,4.713143,-74.04759,2556.5,
T,4.713087,-74.0476,2556.7,
T,4.713018,-74.04761,2556.9,
T,4.712955,-74.04762,2557.1,
T,4.712893,-74.04761,2557.3,
T,4.712822,-74.04762,2557.5,
T,4.712752,-74.04764,2557.7,
T,4.712692,-74.04766,2557.8,
T,4.712638,-74.04766,2558,
T,4.712585,-74.04766,2558.2,
T,4.71253,-74.04765,2558.4,
T,4.712472,-74.04766,2558.4,
T,4.712407,-74.04767,2558.4,
T,4.712332,-74.04769,2558.4,
T,4.712283,-74.04769,2558.4,
T,4.712232,-74.0477,2558.4,
T,4.712178,-74.04772,2558.3,
T,4.712132,-74.04774,2558.3,
T,4.712075,-74.04775,2558.3,
T,4.712018,-74.04776,2558.2,
T,4.711963,-74.04776,2558.3,
T,4.711913,-74.04776,2558.3,
T,4.711862,-74.04777,2558.3,
T,4.711812,-74.04778,2558.3,
T,4.711757,-74.04779,2558.3,
T,4.71171,-74.0478,2558.3,
T,4.71167,-74.04778,2558.3,
T,4.711632,-74.0478,2558.2,
T,4.711575,-74.04782,2558.1,
T,4.711533,-74.04782,2558.1,
T,4.711483,-74.04784,2558,
T,4.711433,-74.04786,2557.9,
T,4.711398,-74.04787,2557.9,
T,4.711358,-74.04789,2557.8,
T,4.711313,-74.0479,2557.8,
T,4.711265,-74.04792,2557.8,
T,4.711228,-74.04794,2557.7,
T,4.711193,-74.04796,2557.7,
