type,latitude,longitude,altitude (m),name
T,4.671095,-74.04944,2567.4,
T,4.671142,-74.04942,2567.1,
T,4.671185,-74.0494,2566.7,
T,4.671228,-74.04936,2566.4,
T,4.671275,-74.04933,2566,
T,4.67132,-74.0493,2565.7,
T,4.671363,-74.04927,2565.5,
T,4.671423,-74.04923,2565.2,
T,4.671485,-74.04916,2564.8,
T,4.67154,-74.04912,2564.4,
T,4.671613,-74.04906,2563.7,
T,4.67165,-74.04905,2563.5,
T,4.671683,-74.04903,2563.4,
T,4.67172,-74.049,2563.3,
T,4.671755,-74.04896,2563.2,
T,4.671795,-74.04895,2563.3,
T,4.671827,-74.04893,2563.3,
T,4.671865,-74.0489,2563.3,
T,4.671903,-74.04889,2563.3,
T,4.671938,-74.04887,2563.3,
T,4.671972,-74.04884,2563.3,
T,4.672012,-74.04883,2563.4,
T,4.672052,-74.04882,2563.5,
T,4.67209,-74.0488,2563.5,
T,4.672135,-74.04878,2563.5,
T,4.672177,-74.04875,2563.5,
T,4.672215,-74.04874,2563.6,
T,4.672248,-74.04872,2563.6,
T,4.672288,-74.04869,2563.6,
T,4.672332,-74.04867,2563.7,
T,4.672375,-74.04866,2563.8,
T,4.672425,-74.04864,2563.9,
T,4.672497,-74.0486,2563.9,
T,4.67254,-74.04858,2563.9,
T,4.672585,-74.04856,2563.9,
T,4.672625,-74.04854,2563.9,
T,4.672668,-74.04852,2563.9,
T,4.672707,-74.0485,2563.8,
T,4.67274,-74.04849,2563.9,
T,4.67278,-74.04847,2563.8,
T,4.672822,-74.04845,2563.8,
T,4.672865,-74.04841,2563.7,
T,4.672908,-74.04838,2563.7,
T,4.672943,-74.04835,2563.6,
T,4.672983,-74.04833,2563.6,
T,4.673018,-74.0483,2563.9,
T,4.673057,-74.04828,2564.1,
T,4.673092,-74.04825,2564.3,
T,4.67313,-74.04822,2564.6,
T,4.673167,-74.0482,2564.8,
T,4.673203,-74.04818,2564.9,
T,4.673222,-74.04815,2565.2,
T,4.673258,-74.04813,2565.4,
T,4.673312,-74.0481,2565.7,
T,4.673355,-74.04808,2565.8,
T,4.6734,-74.04806,2566,
T,4.673443,-74.04805,2566.1,
T,4.673567,-74.04805,2566.1,
T,4.67361,-74.04803,2566.3,
T,4.673647,-74.04802,2566.3,
T,4.673692,-74.04799,2566.5,
T,4.673733,-74.04798,2566.6,
T,4.673773,-74.04796,2566.7,
T,4.673813,-74.04793,2566.9,
T,4.673858,-74.04791,2567,
T,4.673898,-74.04788,2567.2,
T,4.673942,-74.04785,2567.4,
T,4.673977,-74.04781,2567.6,
T,4.67401,-74.04776,2567.8,
T,4.674052,-74.04773,2568,
T,4.6741,-74.0477,2568.1,
T,4.674147,-74.04768,2568.1,
T,4.67423,-74.04765,2568.4,
T,4.674263,-74.04764,2568.6,
T,4.674297,-74.04763,2568.7,
T,4.674333,-74.04762,2568.9,
T,4.674375,-74.04759,2569.2,
T,4.674417,-74.04757,2569.4,
T,4.674473,-74.04757,2569.6,
T,4.674518,-74.04754,2570,
T,4.674558,-74.04751,2570.3,
T,4.674603,-74.04749,2570.6,
T,4.67466,-74.04745,2570.7,
T,4.67471,-74.04742,2570.8,
T,4.674755,-74.0474,2570.8,
T,4.674808,-74.04739,2570.9,
T,4.67487,-74.04735,2570.9,
