type,latitude,longitude,altitude (m),name
T,4.716248,-74.04713,2555,
T,4.71619,-74.04714,2555,
T,4.716132,-74.04715,2555.1,
T,4.716078,-74.04716,2555.1,
T,4.716022,-74.04717,2555.1,
T,4.715967,-74.04717,2555.2,
T,4.715912,-74.04717,2555.3,
T,4.715852,-74.04718,2555.3,
T,4.715793,-74.04717,2555.5,
T,4.715733,-74.04718,2555.6,
T,4.715677,-74.04719,2555.7,
T,4.71562,-74.0472,2555.8,
T,4.715567,-74.04721,2555.8,
T,4.715507,-74.04722,2555.9,
T,4.715457,-74.04723,2556,
T,4.7154,-74.04724,2556.1,
T,4.715348,-74.04726,2556.1,
T,4.715283,-74.04727,2556.2,
T,4.71523,-74.04728,2556.2,
T,4.715177,-74.04729,2556.3,
T,4.715123,-74.04731,2556.3,
T,4.715078,-74.04731,2556.4,
T,4.715022,-74.04732,2556.5,
T,4.714965,-74.04733,2556.5,
T,4.714908,-74.04734,2556.6,
T,4.714852,-74.04736,2556.6,
T,4.714792,-74.04737,2556.7,
T,4.714738,-74.04738,2556.8,
T,4.714688,-74.04738,2557,
T,4.714632,-74.04739,2557.1,
T,4.714572,-74.0474,2557.2,
T,4.714522,-74.0474,2557.4,
T,4.714472,-74.04741,2557.5,
T,4.714422,-74.04741,2557.6,
T,4.714368,-74.04741,2557.8,
T,4.71431,-74.04742,2557.9,
T,4.714252,-74.04743,2558.1,
T,4.714198,-74.04744,2558.2,
T,4.714147,-74.04745,2558.2,
T,4.714097,-74.04746,2558,
T,4.714048,-74.04747,2557.9,
T,4.713993,-74.04748,2557.7,
T,4.713938,-74.04749,2557.5,
T,4.713883,-74.0475,2557.3,
T,4.713827,-74.04751,2557.2,
T,4.713768,-74.04751,2557,
T,4.71371,-74.04752,2556.9,
T,4.713657,-74.04753,2556.7,
T,4.713607,-74.04754,2556.6,
T,4.713555,-74.04754,2556.5,
T,4.713502,-74.04755,2556.3,
T,4.713442,-74.04756,2556.2,
T,4.71338,-74.04759,2556,
T,4.713317,-74.0476,2555.9,
T,4.713263,-74.04761,2556.1,
T,4.713208,-74.04762,2556.3,
T,4.71315,-74.04763,2556.4,
T,4.713088,-74.04763,2556.6,
T,4.713023,-74.04765,2556.8,
T,4.712967,-74.04765,2557,
T,4.712907,-74.04766,2557.1,
T,4.712848,-74.04766,2557.3,
T,4.71279,-74.04767,2557.5,
T,4.71273,-74.04767,2557.7,
T,4.712673,-74.04768,2557.8,
T,4.712623,-74.04769,2557.9,
T,4.712573,-74.04771,2558,
T,4.712525,-74.04772,2558.1,
T,4.712483,-74.04773,2558.2,
T,4.712435,-74.04774,2558.2,
T,4.712378,-74.04776,2558.1,
T,4.712322,-74.04777,2558.1,
T,4.71227,-74.04778,2558.1,
T,4.712218,-74.04778,2558.1,
T,4.712165,-74.04779,2558.1,
T,4.712113,-74.0478,2558.1,
T,4.712072,-74.0478,2558.1,
T,4.712027,-74.04779,2558.2,
T,4.711967,-74.04778,2558.2,
T,4.71192,-74.04778,2558.2,
T,4.711873,-74.04779,2558.2,
T,4.711828,-74.0478,2558.2,
T,4.711778,-74.04781,2558.2,
T,4.711738,-74.04782,2558.2,
T,4.711698,-74.04783,2558.2,
T,4.711653,-74.04784,2558.2,
T,4.711615,-74.04786,2558.1,
T,4.711572,-74.04786,2558.1,
T,4.711527,-74.04787,2558,
T,4.711483,-74.04788,2557.9,
T,4.711438,-74.04789,2557.9,
T,4.711395,-74.0479,2557.9,
T,4.711347,-74.0479,2557.8,
T,4.711302,-74.0479,2557.8,
T,4.711257,-74.04791,2557.8,
T,4.711208,-74.04792,2557.7,
T,4.71116,-74.04792,2557.7,
T,4.71112,-74.04793,2557.7,
T,4.711073,-74.04793,2557.6,
T,4.711023,-74.04794,2557.6,
T,4.710973,-74.04794,2557.6,
T,4.710922,-74.04795,2557.6,
T,4.710868,-74.04795,2557.6,
T,4.710813,-74.04796,2557.5,
T,4.71076,-74.04797,2557.4,
T,4.71071,-74.04798,2557.3,
T,4.710652,-74.04799,2557.2,
T,4.7106,-74.04799,2557.1,
T,4.710555,-74.048,2557.1,
T,4.710507,-74.04801,2557,
T,4.710458,-74.04801,2556.9,
T,4.710412,-74.04802,2556.8,
T,4.710372,-74.04803,2556.7,
T,4.710328,-74.04804,2556.6,
T,4.71028,-74.04805,2556.6,
T,4.710227,-74.04805,2556.5,
T,4.71018,-74.04806,2556.4,
T,4.710133,-74.04806,2556.3,
T,4.710083,-74.04807,2556.2,
T,4.710033,-74.04808,2556.1,
T,4.709988,-74.04809,2556,
T,4.709943,-74.04809,2556,
T,4.709897,-74.04811,2555.9,
T,4.709848,-74.04811,2555.9,
T,4.709793,-74.04812,2555.9,
T,4.709742,-74.04812,2555.8,
T,4.709692,-74.04813,2555.8,
T,4.709637,-74.04814,2555.8,
T,4.709583,-74.04815,2555.7,
T,4.709535,-74.04815,2555.7,
T,4.709488,-74.04816,2555.6,
T,4.709433,-74.04817,2555.6,
T,4.709378,-74.04818,2555.5,
T,4.70934,-74.04819,2555.5,
T,4.709302,-74.0482,2555.4,
T,4.709257,-74.0482,2555.4,
T,4.709205,-74.0482,2555.4,
T,4.709155,-74.04821,2555.3,
T,4.709118,-74.04821,2555.3,
T,4.709083,-74.04821,2555.2,
T,4.70905,-74.04821,2555.2,
T,4.709022,-74.04821,2555.2,
T,4.708993,-74.04822,2555.1,
T,4.708947,-74.04822,2555.1,
T,4.708908,-74.04822,2555.1,
T,4.708868,-74.04823,2555,
T,4.708825,-74.04824,2555,
